key,stance_1,stance_2,canvas
b88f86ad894a422f,I eat meat,I want to get enough protein,support
b88f86ad894a422f,I eat meat,I try to limit red meat,support
b88f86ad894a422f,I try to eat healthier,I want to get enough protein,support
b88f86ad894a422f,I cook most meals at home,My husband eats what I cook,support
04311d2ad745c4c6,I am not influenced by others,I eat meat several times a week,support
04311d2ad745c4c6,I am not influenced by others,I try plant-based products,support
04311d2ad745c4c6,I am not influenced by others,I include meat for nutrients,support
04311d2ad745c4c6,I am not influenced by others,I prefer turkey or chicken,support
04311d2ad745c4c6,I am not influenced by others,I feel healthier after plant-based meals,support
04311d2ad745c4c6,I am mindful about nutrition now,I feel healthier after plant-based meals,support
74ee6a013b1d50b3,I enjoy having steak and ribs,I like the flavor of meat,support
74ee6a013b1d50b3,All my friends eat meat frequently,I like the flavor of meat,support
74ee6a013b1d50b3,I eat meat with almost every meal,I like the flavor of meat,support
74ee6a013b1d50b3,I eat meat with almost every meal,I prefer meat over other foods,support
74ee6a013b1d50b3,I like the flavor of meat,I prefer meat over other foods,support
74ee6a013b1d50b3,I eat meat with almost every meal,I understand environmental and social impacts,conflict
74ee6a013b1d50b3,I enjoy having steak and ribs,I understand environmental and social impacts,conflict
74ee6a013b1d50b3,I have not considered reducing meat consumption,I understand environmental and social impacts,conflict
8bcf4a8ef4be7cba,I eat a lot of vegetables,I like vegetables,support
8bcf4a8ef4be7cba,I eat chicken once a week,I eat meat occasionally,support
8bcf4a8ef4be7cba,I care about the price of meat,I eat meat occasionally,support
8bcf4a8ef4be7cba,I eat meat occasionally,I like vegetables,conflict
8bcf4a8ef4be7cba,I eat a lot of vegetables,I eat chicken once a week,conflict
abe8e3027db90040,Eating pescatarian helped me gain weight,I want to maintain a healthy weight,support
abe8e3027db90040,I like trying pescatarian and vegetarian meals,I want to maintain a healthy weight,support
abe8e3027db90040,I like trying pescatarian and vegetarian meals,I plan to switch diet when working out,support
abe8e3027db90040,I became pescatarian for a year,I plan to switch diet when working out,support
abe8e3027db90040,I became pescatarian for a year,I wanted to try new meal kits,support
abe8e3027db90040,I tried meal kits with vegan options,I wanted to try new meal kits,support
abe8e3027db90040,I tried meal kits with vegan options,Some social contacts avoid meat for health reasons,support
abe8e3027db90040,I currently eat red meat and pork,Most social contacts eat all types of meat,support
abe8e3027db90040,I currently eat red meat and pork,I tried meal kits with vegan options,conflict
abe8e3027db90040,I like trying pescatarian and vegetarian meals,Most social contacts eat all types of meat,conflict
cb76d03be5d6b3ac,I avoid highly processed meats,I avoid pork,support
cb76d03be5d6b3ac,I avoid pork,I dislike unethical farming,support
cb76d03be5d6b3ac,I eat meat every evening,I want enough protein,support
cb76d03be5d6b3ac,Doctor warning would make me stop meat,I like the taste of meat,support
cb76d03be5d6b3ac,Friends are vegetarian for ethical reasons,My respect for animals has grown,support
cb76d03be5d6b3ac,I am concerned about health,I want enough protein,support
cb76d03be5d6b3ac,I am concerned about health,I avoid highly processed meats,support
cb76d03be5d6b3ac,I am concerned about health,I avoid pork,support
cb76d03be5d6b3ac,I dislike unethical farming,My respect for animals has grown,support
cb76d03be5d6b3ac,Friends are vegetarian for ethical reasons,I dislike unethical farming,support
cb76d03be5d6b3ac,I dislike unethical farming,I eat meat every evening,conflict
cb76d03be5d6b3ac,I eat meat every evening,My respect for animals has grown,conflict
97f6aaf7d17e1706,I enjoy the variety of meat dishes,Meat is my favorite food,support
97f6aaf7d17e1706,Meat is my favorite food,Meat tastes good,support
97f6aaf7d17e1706,I eat meat almost daily,Meat is my favorite food,support
97f6aaf7d17e1706,Eating meat is a habit for my family,Meat is my favorite food,support
97f6aaf7d17e1706,Meat is my favorite food,My family eats meat similarly,support
97f6aaf7d17e1706,I eat meat almost daily,I enjoy the variety of meat dishes,support
97f6aaf7d17e1706,I eat meat almost daily,Meat tastes good,support
97f6aaf7d17e1706,Eating meat is a habit for my family,I eat meat almost daily,support
97f6aaf7d17e1706,I eat meat almost daily,My family eats meat similarly,support
97f6aaf7d17e1706,I am aware meat has low fiber,Meat is my favorite food,conflict
97f6aaf7d17e1706,I am aware of health problems from meat,Meat is my favorite food,conflict
97f6aaf7d17e1706,I am aware of environmental issues from meat,Meat is my favorite food,conflict
97f6aaf7d17e1706,I am aware meat has low fiber,I eat meat almost daily,conflict
97f6aaf7d17e1706,I am aware of health problems from meat,I eat meat almost daily,conflict
97f6aaf7d17e1706,Eating meat is a habit for my family,I am aware meat has low fiber,conflict
97f6aaf7d17e1706,Eating meat is a habit for my family,I am aware of health problems from meat,conflict
ca1edc15c837e28e,I stopped eating meat,I want to maintain a healthy weight,support
ca1edc15c837e28e,I do not want to breed animals for food,I want to maintain a healthy weight,support
ca1edc15c837e28e,I do not want to breed animals for food,I stopped eating meat,support
ca1edc15c837e28e,I feel good avoiding mammal flesh,I stopped eating meat,support
ca1edc15c837e28e,I do not want to breed animals for food,I feel good avoiding mammal flesh,support
ca1edc15c837e28e,I occasionally eat salmon,I stopped eating meat,conflict
ca1edc15c837e28e,I feel good avoiding mammal flesh,I occasionally eat salmon,conflict
ca1edc15c837e28e,I restarted fish due to financial reasons,I stopped eating meat,conflict
11e5443a9c9c5d6e,I have diabetes,I mostly eat chicken,support
11e5443a9c9c5d6e,I have diabetes,I try to eat less meat,support
11e5443a9c9c5d6e,I can eat vegetables for protein,I have diabetes,support
11e5443a9c9c5d6e,Meat is a staple in family dishes,My family enjoys the taste of meat,support
11e5443a9c9c5d6e,I have diabetes,Red meat makes me feel sleepy,conflict
11e5443a9c9c5d6e,My family enjoys the taste of meat,Red meat makes me feel sleepy,conflict
11e5443a9c9c5d6e,Meat is a staple in family dishes,Red meat makes me feel sleepy,conflict
901b1e68b9a21d2e,I do not plan meatless days,Some meals do not need meat,support
901b1e68b9a21d2e,Friends consider meat essential for meals,Meat is part of childhood upbringing,support
901b1e68b9a21d2e,I do not plan meatless days,I enjoy rice and beans,support
901b1e68b9a21d2e,I enjoy rice and beans,Some meals do not need meat,support
901b1e68b9a21d2e,I enjoy the taste of meat,Some recipes require meat,support
901b1e68b9a21d2e,Friends consider meat essential for meals,Some recipes require meat,support
901b1e68b9a21d2e,Meat is part of childhood upbringing,Some recipes require meat,support
901b1e68b9a21d2e,Friends consider meat essential for meals,I enjoy the taste of meat,support
901b1e68b9a21d2e,I use leftover meat to avoid waste,Some recipes require meat,support
901b1e68b9a21d2e,I enjoy the taste of meat,I use leftover meat to avoid waste,support
901b1e68b9a21d2e,I use leftover meat to avoid waste,Price influences my meat choices,support
901b1e68b9a21d2e,Friends consider meat essential for meals,I enjoy rice and beans,conflict
901b1e68b9a21d2e,Friends consider meat essential for meals,Some meals do not need meat,conflict
901b1e68b9a21d2e,I enjoy rice and beans,Meat is part of childhood upbringing,conflict
901b1e68b9a21d2e,Meat is part of childhood upbringing,Some meals do not need meat,conflict
901b1e68b9a21d2e,I do not plan meatless days,Some recipes require meat,conflict
901b1e68b9a21d2e,I enjoy rice and beans,I enjoy the taste of meat,conflict
901b1e68b9a21d2e,I enjoy the taste of meat,Some meals do not need meat,conflict
901b1e68b9a21d2e,Price influences my meat choices,Some recipes require meat,conflict
62db37d23852862b,I cook meat at home,I want to gain weight,support
62db37d23852862b,I eat a high protein diet,I want to gain weight,support
62db37d23852862b,I appreciate the texture of meat,I cook meat at home,support
62db37d23852862b,I cook meat at home,I enjoy the taste of meat,support
62db37d23852862b,I appreciate the texture of meat,I eat a high protein diet,support
62db37d23852862b,I enjoy the taste of meat,I want to gain weight,support
62db37d23852862b,I have health motivations,I want to gain weight,support
62db37d23852862b,I eat a high protein diet,I have price concerns,conflict
62db37d23852862b,I cook meat at home,I have price concerns,conflict
62db37d23852862b,I cook meat at home,I have health motivations,conflict
62db37d23852862b,I eat a high protein diet,I have health motivations,conflict
62db37d23852862b,I eat a high protein diet,I eat less meat than before,conflict
62db37d23852862b,I cook meat at home,I eat less meat than before,conflict
62db37d23852862b,I eat less meat than before,I have health motivations,conflict
fe0757521e1d3e76,I eat meat,I was raised eating meat,support
fe0757521e1d3e76,I was raised eating meat,My family eats meat regularly,support
fe0757521e1d3e76,I eat meat,My family eats meat regularly,support
fe0757521e1d3e76,I am concerned about animal welfare,I eat meat,support
fe0757521e1d3e76,I am concerned about animal welfare,I try to limit meat consumption,support
fe0757521e1d3e76,I am concerned about my health,I try to limit meat consumption,support
fe0757521e1d3e76,I am concerned about climate change,I am concerned about my health,support
fe0757521e1d3e76,I am concerned about animal welfare,I am concerned about climate change,support
fe0757521e1d3e76,I am concerned about animal welfare,I eat meat,conflict
fe0757521e1d3e76,I am concerned about climate change,I eat meat,conflict
fe0757521e1d3e76,I eat meat,I try to limit meat consumption,conflict
fe0757521e1d3e76,I am concerned about animal welfare,I am concerned about climate change,conflict
fe0757521e1d3e76,I am concerned about animal welfare,I try to limit meat consumption,conflict
edc04ff5e481112b,I choose food that fits my budget,I eat pork and chicken more than beef,support
edc04ff5e481112b,I choose food that fits my budget,I seek nutritional balance,support
edc04ff5e481112b,I am open to trying new meats,I seek nutritional balance,support
edc04ff5e481112b,I am open to trying new meats,I choose food that fits my budget,support
edc04ff5e481112b,I choose food that fits my budget,I try to eat diverse meats and vegetables,support
edc04ff5e481112b,I seek nutritional balance,I try to eat diverse meats and vegetables,support
edc04ff5e481112b,I choose food that fits my budget,I choose food that is easy to prepare,support
edc04ff5e481112b,I choose food that is easy to prepare,I try to eat diverse meats and vegetables,support
edc04ff5e481112b,Buffet availability increases meat variety,I seek nutritional balance,support
edc04ff5e481112b,Buffet availability increases meat variety,I try to eat diverse meats and vegetables,support
edc04ff5e481112b,I seek nutritional balance,Social contacts care about cost and nutrition,support
edc04ff5e481112b,Buffet availability increases meat variety,I choose food that is easy to prepare,support
edc04ff5e481112b,Buffet availability increases meat variety,I am open to trying new meats,support
edc04ff5e481112b,I choose food that fits my budget,I try to eat diverse meats and vegetables,conflict
edc04ff5e481112b,Buffet availability increases meat variety,I choose food that fits my budget,conflict
edc04ff5e481112b,I am open to trying new meats,I eat pork and chicken more than beef,conflict
edc04ff5e481112b,Health concerns reduce meat for some friends,I eat pork and chicken more than beef,conflict
edc04ff5e481112b,Health concerns reduce meat for some friends,I am open to trying new meats,conflict
edc04ff5e481112b,I choose food that is easy to prepare,I seek nutritional balance,conflict
edc04ff5e481112b,I choose food that is easy to prepare,Social contacts care about cost and nutrition,conflict
edc04ff5e481112b,I choose food that fits my budget,I seek nutritional balance,conflict
edc04ff5e481112b,I am open to trying new meats,I choose food that is easy to prepare,conflict
06a4dd916c731ccf,Heart disease runs in my family,My uncles and father limit red meat,support
06a4dd916c731ccf,Heart disease runs in my family,I try to limit red meat,support
06a4dd916c731ccf,I am concerned about diabetes,My uncles and father limit red meat,conflict
06a4dd916c731ccf,I am concerned about stroke,I try to limit red meat,conflict
df3aa70f59b84ff1,I am concerned about animal welfare,I do not support the animal industry,support
df3aa70f59b84ff1,I am vegan,I have no interest in eating meat,support
df3aa70f59b84ff1,I ensure high protein intake,I want to be health conscious,support
df3aa70f59b84ff1,I am vegan,I ensure high protein intake,conflict
df3aa70f59b84ff1,I ensure high protein intake,I have no interest in eating meat,conflict
cb4fa8f65ecfa814,I am concerned about sustainability,I try to eat less meat,support
cb4fa8f65ecfa814,I am concerned about sustainability,I read news about food sustainability,support
cb4fa8f65ecfa814,I am concerned about sustainability,I eat more beans and rice,support
cb4fa8f65ecfa814,I am concerned about sustainability,I eat less red meat,support
cb4fa8f65ecfa814,I eat less red meat,My family has not reduced meat consumption,conflict
9fc1c0064ceb93cd,I have meat-free nights,Meat is very expensive,support
9fc1c0064ceb93cd,I have meat-free nights,People avoid red meat for health reasons,support
9fc1c0064ceb93cd,I have meat-free nights,I want to save money,support
9fc1c0064ceb93cd,I eat mostly ground beef and chicken,I want to keep my family full,support
9fc1c0064ceb93cd,I eat mostly ground beef and chicken,I want to get enough protein,support
9fc1c0064ceb93cd,I have a large family,I have meat-free nights,support
9fc1c0064ceb93cd,I have a large family,Meat is very expensive,support
9fc1c0064ceb93cd,I sometimes switch to ground turkey,I want to get enough protein,support
9fc1c0064ceb93cd,I have meat-free nights,I want to get enough protein,conflict
9fc1c0064ceb93cd,I have a large family,Meat is very expensive,conflict
9fc1c0064ceb93cd,I eat mostly ground beef and chicken,People avoid red meat for health reasons,conflict
9fc1c0064ceb93cd,I eat mostly ground beef and chicken,I want to keep my family full,conflict
bdb2c3e399606ce4,I am aware of health risks from high meat intake,I have reduced red meat intake over time,support
bdb2c3e399606ce4,I frequently think about reducing meat consumption,I have reduced red meat intake over time,support
bdb2c3e399606ce4,I eat mostly chicken,I have reduced red meat intake over time,support
bdb2c3e399606ce4,Exposure to vegetarian recipes through social contacts,I have reduced red meat intake over time,support
bdb2c3e399606ce4,I have reduced red meat intake over time,I occasionally eat pork or red meat,support
bdb2c3e399606ce4,I have reduced red meat intake over time,Social contacts vary in meat consumption habits,support
bdb2c3e399606ce4,I eat meat for flavor,I occasionally eat pork or red meat,support
bdb2c3e399606ce4,I eat meat for protein,I occasionally eat pork or red meat,support
bdb2c3e399606ce4,I eat meat for flavor,I have reduced red meat intake over time,conflict
bdb2c3e399606ce4,I eat meat for protein,I have reduced red meat intake over time,conflict
61766c21a780a6d9,I love to eat meat,I prefer filling meat options,support
61766c21a780a6d9,I love to eat meat,I want meat that is nutritious,support
333a4e955656276f,Coronary heart disease risk concerns me,I am concerned about health effects,support
333a4e955656276f,I vary between white and red meat,Red meat in moderation is acceptable,support
333a4e955656276f,I eat meat regularly,I vary between white and red meat,support
333a4e955656276f,I am concerned about environmental impact,I am concerned about health effects,support
333a4e955656276f,I am concerned about health effects,I eat meat regularly,conflict
333a4e955656276f,I am concerned about environmental impact,I eat meat regularly,conflict
333a4e955656276f,I eat meat regularly,Red meat in moderation is acceptable,conflict
333a4e955656276f,Coronary heart disease risk concerns me,I eat meat regularly,conflict
72148bfd1d0973af,I eat meat for protein,I enjoy eating meat,support
72148bfd1d0973af,I eat meat for protein,I focus on balancing my diet,support
72148bfd1d0973af,I eat different types of meat,I eat meat mainly at dinner,support
72148bfd1d0973af,I eat meat mainly at dinner,I eat meat out of habit,support
72148bfd1d0973af,I eat meat for protein,I enjoy eating meat,conflict
72148bfd1d0973af,I eat meat for protein,I focus on balancing my diet,conflict
72148bfd1d0973af,I eat different types of meat,I eat meat mainly at dinner,conflict
72148bfd1d0973af,I eat meat mainly at dinner,I eat meat out of habit,conflict
bb43950de402cf68,Chicken is a staple in my family,I enjoy the flavor of meat,support
bb43950de402cf68,Chicken is a staple in my family,I grew up eating chicken frequently,support
bb43950de402cf68,I eat meat without much thought,I enjoy the flavor of meat,support
bb43950de402cf68,I cook meat regularly at home,I enjoy the flavor of meat,support
bb43950de402cf68,I enjoy the flavor of meat,I prefer to add protein to meals,support
bb43950de402cf68,I grew up eating chicken frequently,I prefer to add protein to meals,support
bb43950de402cf68,I enjoy the flavor of meat,Meat adds flavor to meals,support
bb43950de402cf68,I prefer to add protein to meals,Meat choice depends on price,support
bb43950de402cf68,I enjoy the flavor of meat,Someone in my family is vegan,conflict
bb43950de402cf68,Chicken is a staple in my family,Someone in my family is vegan,conflict
bb43950de402cf68,I eat meat without much thought,Someone in my family is vegan,conflict
bb43950de402cf68,I grew up eating chicken frequently,Someone in my family is vegan,conflict
bb43950de402cf68,I enjoy the flavor of meat,Meat choice depends on price,conflict
bb43950de402cf68,I grew up eating chicken frequently,Meat choice depends on price,conflict
bb43950de402cf68,Meat adds flavor to meals,Meat choice depends on price,conflict
bb43950de402cf68,I cook meat regularly at home,Meat choice depends on price,conflict
bb43950de402cf68,I prefer to add protein to meals,Meat choice depends on price,conflict
90a26c5862848d7f,I aim to reduce meat consumption,I have health concerns about eating meat,support
90a26c5862848d7f,I aim to reduce meat consumption,I am concerned about environmental impact,support
90a26c5862848d7f,I aim to reduce meat consumption,I am concerned about animal welfare,support
90a26c5862848d7f,I eat meat for protein and athletic performance,I eat meat two or three days weekly,support
90a26c5862848d7f,I buy meat when it is on sale,I eat meat for protein and athletic performance,support
90a26c5862848d7f,I buy meat when it is on sale,I eat meat two or three days weekly,support
90a26c5862848d7f,I aim to reduce meat consumption,I eat meat two or three days weekly,support
90a26c5862848d7f,I aim to reduce meat consumption,I buy meat when it is on sale,conflict
90a26c5862848d7f,I aim to reduce meat consumption,My community values eating meat regularly,conflict
90a26c5862848d7f,I aim to reduce meat consumption,I grew up in a meat-eating family,conflict
f8610fec106ff80d,I want a healthier future for myself,My mom eats less meat for health reasons,support
f8610fec106ff80d,I want a healthier future for myself,My boyfriend prefers more vegetables,support
f8610fec106ff80d,I feel better eating less meat,I want a healthier future for myself,support
f8610fec106ff80d,I care about environmental impact,I want a healthier future for myself,support
f8610fec106ff80d,Convenience influences my meal choices,I want a healthier future for myself,conflict
f8610fec106ff80d,I like the taste of meat,I want a healthier future for myself,conflict
f8610fec106ff80d,I regularly eat bacon at breakfast,I want a healthier future for myself,conflict
f8610fec106ff80d,I buy fast food burgers and fried chicken,I want a healthier future for myself,conflict
ccae674b4ff562be,I eat meat at least once a day,I want to get enough protein,support
ccae674b4ff562be,Eating meat gives me more energy,I eat meat at least once a day,support
ccae674b4ff562be,I eat meat at least once a day,I feel fatigued without meat,support
56bf7903d2e713c7,I am concerned about animal welfare,I respect animal lives,support
56bf7903d2e713c7,I do not eat meat at home,I think red meat is unhealthy,support
56bf7903d2e713c7,I rarely eat meat,I respect animal lives,support
56bf7903d2e713c7,I am concerned about animal welfare,I rarely eat meat,support
56bf7903d2e713c7,My partner is a vegan,My partner supports and motivates me,support
56bf7903d2e713c7,I do not eat meat at home,I rarely eat meat,conflict
56bf7903d2e713c7,I rarely eat meat,I respect animal lives,conflict
56bf7903d2e713c7,I am concerned about animal welfare,I rarely eat meat,conflict
56bf7903d2e713c7,I eat meat to be polite at gatherings,I respect animal lives,conflict
56bf7903d2e713c7,I am concerned about animal welfare,I eat meat to be polite at gatherings,conflict
13acdf8c5c78ff2c,Certain meats do not digest well for me,I consider some meats unhealthy,support
13acdf8c5c78ff2c,I avoid deli meats,I consider some meats unhealthy,support
13acdf8c5c78ff2c,Certain meats do not digest well for me,I consider some meats unhealthy,conflict
13acdf8c5c78ff2c,I believe meat provides essential vitamins,I ensure meat is fully cooked,conflict
a92d69730b8c4ae0,Family keeps a freezer full of venison,I always eat meat at dinner,support
a92d69730b8c4ae0,Family keeps a freezer full of venison,I want to avoid buying beef,support
a92d69730b8c4ae0,Friends are also hunters,My family are hunters,support
a92d69730b8c4ae0,I grew up eating meat,I often snack on venison jerky,support
a92d69730b8c4ae0,I always eat meat at dinner,I would never consider not eating meat,conflict
a92d69730b8c4ae0,Family keeps a freezer full of venison,I want to avoid buying beef,conflict
761f1ce0efbbce9e,I eat fish one to two times weekly,I try to eat more protein,support
761f1ce0efbbce9e,I eat poultry two or three times weekly,I try to eat more protein,support
761f1ce0efbbce9e,I eat red meat up to twice weekly,I try to eat more protein,support
761f1ce0efbbce9e,I eat things in moderation,I was vegetarian for 19 years,support
761f1ce0efbbce9e,I eat things in moderation,I try to eat more protein,support
761f1ce0efbbce9e,Fish is good for heart and brain,I eat fish one to two times weekly,support
761f1ce0efbbce9e,I avoid more than two servings of red meat weekly,I eat red meat up to twice weekly,support
82db7bf9aab23ea9,I have stopped buying meat,I think meat prices are too high,support
82db7bf9aab23ea9,I am concerned about environmental impact,I have stopped buying meat,support
82db7bf9aab23ea9,I am concerned about animal welfare,I have stopped buying meat,support
82db7bf9aab23ea9,I am reducing animal product consumption,I have stopped buying meat,support
82db7bf9aab23ea9,Most people I know eat meat every meal,Social contacts see meat as strength,support
82db7bf9aab23ea9,Most people I know eat meat every meal,Negative comments from service workers about not eating meat,support
82db7bf9aab23ea9,I have stopped buying meat,Most people I know eat meat every meal,conflict
82db7bf9aab23ea9,I am concerned about environmental impact,Negative comments from service workers about not eating meat,conflict
82db7bf9aab23ea9,I am concerned about animal welfare,Negative comments from service workers about not eating meat,conflict
82db7bf9aab23ea9,I am reducing animal product consumption,Negative comments from service workers about not eating meat,conflict
82db7bf9aab23ea9,I have stopped buying meat,Social contacts see meat as strength,conflict
cac06cf49267cb04,I buy chicken and pork,I prefer chicken and pork to red meat,support
cac06cf49267cb04,I buy chicken and pork,I buy meat on sale,support
cac06cf49267cb04,I buy chicken and pork,I have budget considerations,support
cac06cf49267cb04,I buy meat on sale,I have budget considerations,support
cac06cf49267cb04,I am happy with a plant based diet,I eat minimal red meat,support
cac06cf49267cb04,I eat minimal red meat,I think food origin is important,support
cac06cf49267cb04,I am aware of beef’s carbon footprint,I think food origin is important,support
cac06cf49267cb04,I am aware of beef’s carbon footprint,I eat minimal red meat,support
cac06cf49267cb04,I am happy with a plant based diet,I think food origin is important,support
cac06cf49267cb04,I eat minimal red meat,I have budget considerations,support
cac06cf49267cb04,I eat minimal red meat,My social circle prefers red meat,conflict
cac06cf49267cb04,I eat minimal red meat,My social circle eats red meat regularly,conflict
cac06cf49267cb04,I am aware of beef’s carbon footprint,My social circle eats red meat regularly,conflict
cac06cf49267cb04,I am aware of beef’s carbon footprint,My social circle prefers red meat,conflict
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,I primarily eat chicken and fish,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I primarily eat chicken and fish,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I try vegetarian and vegan meals for variety,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,I try vegetarian and vegan meals for variety,support
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,I try vegetarian and vegan meals for variety,support
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,I am trying to reduce meat eating,support
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I try vegetarian and vegan meals for variety,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I want to reduce saturated fat intake,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I think eating less meat is healthier,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I think eating less meat is healthier,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I think eating less meat is healthier,I try vegetarian and vegan meals for variety,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,I think eating less meat is healthier,support
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,I think eating less meat is healthier,support
f9ac4b8a3e8bbb4e,I primarily eat chicken and fish,I think eating less meat is healthier,support
f9ac4b8a3e8bbb4e,I eat more vegetables as snacks,I want to reduce saturated fat intake,support
f9ac4b8a3e8bbb4e,I eat more vegetables as snacks,More vegetarian options are available when dining out,support
f9ac4b8a3e8bbb4e,I eat more vegetables as snacks,I think eating less meat is healthier,support
f9ac4b8a3e8bbb4e,I eat more vegetables as snacks,I try vegetarian and vegan meals for variety,support
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,I eat more vegetables as snacks,support
f9ac4b8a3e8bbb4e,I am trying to eat healthier proteins,My family members eat more meat than I do,conflict
f9ac4b8a3e8bbb4e,I want to reduce saturated fat intake,My family members eat more meat than I do,conflict
f9ac4b8a3e8bbb4e,I think eating less meat is healthier,My family members eat more meat than I do,conflict
f9ac4b8a3e8bbb4e,I am trying to reduce meat eating,My family members eat more meat than I do,conflict
f9ac4b8a3e8bbb4e,I primarily eat chicken and fish,My family members eat more meat than I do,conflict
b96bd44f593949b7,I am motivated by health,I have vegetarian dinners some days,support
b96bd44f593949b7,I am motivated by health,I balance meat with grains and beans,support
b96bd44f593949b7,I am motivated by health,I seek high quality meat,support
b96bd44f593949b7,I am motivated by feeling satisfied,I enjoy the taste of meat,support
b96bd44f593949b7,I want to support local sustainable farms,Meat prices are expensive,conflict
b96bd44f593949b7,I seek high quality meat,Meat prices are expensive,conflict
b96bd44f593949b7,I am motivated by feeling satisfied,I am motivated by health,conflict
d0948831f2fd6c9a,I eat meat regularly,Meat is culturally accepted by my social contacts,support
d0948831f2fd6c9a,I eat meat regularly,I value low calorie foods,support
d0948831f2fd6c9a,I eat meat regularly,I think meat is good for health,support
d0948831f2fd6c9a,I eat a lot of chicken,I eat meat regularly,support
d0948831f2fd6c9a,High protein is important to me,I eat meat regularly,support
d0948831f2fd6c9a,I eat meat regularly,My social contacts eat meat regularly,support
d0948831f2fd6c9a,I do not support cutting out meat,I have not considered reducing meat,support
d0948831f2fd6c9a,I eat meat regularly,I have not considered reducing meat,support
d0948831f2fd6c9a,I do not support cutting out meat,I eat meat regularly,support
bcaf50d01f330313,I eat meat on occasion,People close to me eat meat occasionally,support
bcaf50d01f330313,I experimented with vegetarianism as a teenager,I was curious about being vegetarian,support
bcaf50d01f330313,Healthy eating is valued by social contacts,I choose healthy meals,support
5cac8fe98f0a075d,I am concerned about climate change,I care about animal welfare,support
5cac8fe98f0a075d,I am concerned about climate change,I feel healthier eating less meat,support
5cac8fe98f0a075d,I am concerned about climate change,I plan weekly menus with limited meat,support
5cac8fe98f0a075d,I am concerned about climate change,My husband shares my meal planning,support
5cac8fe98f0a075d,I am concerned about climate change,Other family values traditional meat-based meals,support
5cac8fe98f0a075d,I am concerned about climate change,I eat mostly vegetarian dinners,support
5cac8fe98f0a075d,I eat mostly vegetarian dinners,My daughter now favors vegetarian dishes,support
5cac8fe98f0a075d,Meat is part of my family's culture,Protein focus among young adults,support
5cac8fe98f0a075d,Meat is part of my family's culture,Protein focus among young adults,conflict
f59ad690cbd0e6c3,Friends and family eat meat regularly,I feel alienated for reducing meat,support
f59ad690cbd0e6c3,I am concerned about cancer risk from red meat,I believe less meat is better for health,support
f59ad690cbd0e6c3,I avoid eating red meat,I try to reduce meat consumption,support
f59ad690cbd0e6c3,I eat meat once or twice a week,I try to reduce meat consumption,conflict
a7f9aa7ea5df8acf,I am concerned about animal rights,I am concerned about animal welfare,support
a7f9aa7ea5df8acf,I am a vegetarian,I am concerned about animal rights,support
a7f9aa7ea5df8acf,I am a vegetarian,I am concerned about animal welfare,support
a7f9aa7ea5df8acf,I am a vegetarian,I am concerned about climate change,support
a7f9aa7ea5df8acf,I am a vegetarian,I have food aversion to meat,support
a7f9aa7ea5df8acf,I am a vegetarian,I am concerned about factory farming ethics,support
a7f9aa7ea5df8acf,I am a vegetarian,I have texture issues with meat,support
a7f9aa7ea5df8acf,I have food aversion to meat,I have texture issues with meat,support
a7f9aa7ea5df8acf,I am concerned about animal welfare,I am concerned about factory farming ethics,support
a7f9aa7ea5df8acf,I am concerned about animal rights,I am concerned about factory farming ethics,support
05dc9cc1ea5a74bc,I am a steak and potatoes person,I enjoy eating a variety of meats,support
05dc9cc1ea5a74bc,I enjoy eating a variety of meats,My faith supports eating meat,support
05dc9cc1ea5a74bc,I find meat delicious,I like how meat is prepared,support
05dc9cc1ea5a74bc,Meat meals bring people together,Most people I know eat meat,support
05dc9cc1ea5a74bc,Eating meat is part of my upbringing,Most people I know eat meat,support
05dc9cc1ea5a74bc,Meat meals bring people together,Social contacts avoid meat for health reasons,conflict
05dc9cc1ea5a74bc,Eating meat is part of my upbringing,Social contacts avoid meat for health reasons,conflict
a22e24bd1aef3c96,I enjoy eating meat,I like the taste of meat,support
a22e24bd1aef3c96,I eat a lot of chicken,I enjoy eating meat,support
a22e24bd1aef3c96,I enjoy eating meat,People I spend time with eat meat,support
a22e24bd1aef3c96,I enjoy eating meat,My daughter eats meat regularly,support
a22e24bd1aef3c96,I enjoy eating meat,I want to get a lot of protein,support
